TRAFFIC_STUDY_SPEED_ID,ROW_ID,DATA_FILE,SITE_CODE,DATETIME,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,TIME,SPEED_CHANNEL,COUNT_TOTAL,SPEED_0_14,SPEED_15_19,SPEED_20_24,SPEED_25_29,SPEED_30_34,SPEED_35_39,SPEED_40_44,SPEED_45_49,SPEED_50_54,SPEED_55_59,SPEED_60_64,SPEED_65_69,SPEED_70_200
,7fcb267aa48b0593fd4b52853c3a9f91639f4eeb,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 09:00:00 AM,2016,3,30,2,09:00,NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,588687ccfad52c1f52cf2f6f0ca0e7990112f53c,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 10:00:00 AM,2016,3,30,2,10:00,NB,3,0,0,0,2,1,0,0,0,0,0,0,0,0
,06ae460c5a54a8bcd176309c040ef60a5b2005c6,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 11:00:00 AM,2016,3,30,2,11:00,NB,5,1,0,0,4,0,0,0,0,0,0,0,0,0
,2ee2bac6eccd42cdb5bcf658cb6aa38a47142e55,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 12:00:00 PM,2016,3,30,2,12:00,NB,10,0,3,1,2,2,2,0,0,0,0,0,0,0
,9fb4c771be1ccd2877e372be45b36aa5c2a27c5e,PecanSpringsRd2940BD.rdf,G18JMA,03/30/2016 01:00:00 PM,2016,3,30,2,13:00,NB,13,0,1,4,6,1,0,1,0,0,0,0,0,0
,a884d32054e03f9271dea080d9c8bcc882143635,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 03:00:00 PM,2016,10,4,1,15:00,WB,52,0,0,0,2,16,17,14,3,0,0,0,0,0
,bd5a858f1f847766781673d2a9b8d99c9c43dd67,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 04:00:00 PM,2016,10,4,1,16:00,WB,58,0,0,1,0,8,25,17,6,1,0,0,0,0
,098ab4422b19ccdd023e6ba2ef5c31e2eddb3e6e,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 05:00:00 PM,2016,10,4,1,17:00,WB,66,0,0,0,1,15,24,21,4,1,0,0,0,0
,a58f3017e82a06569c42d57e6e06178183a3e305,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 06:00:00 PM,2016,10,4,1,18:00,WB,71,0,0,0,1,19,29,19,3,0,0,0,0,0
,7485284ba7ab17b4570ff456bf3d34e1e1ff3a5c,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 07:00:00 PM,2016,10,4,1,19:00,WB,60,0,0,0,1,11,20,19,4,4,1,0,0,0
,4fd2610e363c3ee5dc809d855772b4266402f774,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 08:00:00 PM,2016,10,4,1,20:00,WB,64,0,0,0,0,10,34,16,3,1,0,0,0,0
,5c67cb20bc706df84a9c60c73716f72a41feea7d,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 09:00:00 PM,2016,10,4,1,21:00,WB,53,0,0,0,1,9,22,17,3,1,0,0,0,0
,74b08f1a3743678282a1d1cbd8c1363c3c667709,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 10:00:00 PM,2016,10,4,1,22:00,WB,57,0,0,0,0,11,18,22,6,0,0,0,0,0
,6c0782c796dd4801feac70dec10b1e792c6baca2,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 11:00:00 PM,2016,10,4,1,23:00,WB,51,0,0,2,2,9,18,12,6,2,0,0,0,0
,feef338cdfedfc05170578372e2ff6fddd5dacaf,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 12:00:00 AM,2016,10,5,2,00:00,WB,32,0,0,0,1,8,17,5,1,0,0,0,0,0
,3a2ebc4f15b185212537a903a4ce456c7880f4c1,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 01:00:00 AM,2016,10,5,2,01:00,WB,16,0,0,0,2,3,4,4,3,0,0,0,0,0
,db02f6674dc79c4d768fc07bc622cc3ae26cf54e,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 02:00:00 AM,2016,10,5,2,02:00,WB,8,0,0,0,1,1,4,1,1,0,0,0,0,0
,e206ac637297b330803ffa31d592fdac7ba4dc5a,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 03:00:00 AM,2016,10,5,2,03:00,WB,4,0,0,2,0,1,1,0,0,0,0,0,0,0
,a1d5daae4f898e78cbe68ba3cf9ab0327c3a9e60,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 04:00:00 AM,2016,10,5,2,04:00,WB,2,0,0,0,0,0,1,1,0,0,0,0,0,0
,72d85834db5271d991825134f4ad9bc3a37e46dd,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 05:00:00 AM,2016,10,5,2,05:00,WB,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,9ff4e9d0566cfa2410c2666e1cece3db470dfe16,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 06:00:00 AM,2016,10,5,2,06:00,WB,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,7512ed4f2d63634719319e3882129b65cd851072,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 07:00:00 AM,2016,10,5,2,07:00,WB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,52898d55a6eeb6f379d8c89e22ea1e6b1437e02c,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 08:00:00 AM,2016,10,5,2,08:00,WB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c87582edd6fdd21b78cc4ed583de3b2f7e9302ea,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 09:00:00 AM,2016,10,5,2,09:00,WB,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,fbf7764ec441ec7c8d513ebb26fedd88c32ab2a6,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 10:00:00 AM,2016,10,5,2,10:00,WB,2,0,0,0,0,0,1,1,0,0,0,0,0,0
,4f5ee800716779340bdf450ebb8bc5284d79e2dc,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 11:00:00 AM,2016,10,5,2,11:00,WB,14,0,0,0,0,3,7,3,1,0,0,0,0,0
,e9621661e037823b8bb25d35f8fc78c6306f9b53,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 12:00:00 PM,2016,10,5,2,12:00,WB,54,0,1,1,3,18,18,10,3,0,0,0,0,0
,9ad8eb3fa142a029c7b2cf6a01ba6a476e46e84c,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 01:00:00 PM,2016,10,5,2,13:00,WB,58,0,0,0,6,13,20,15,4,0,0,0,0,0
,8fb26926c2bcae80fbd531af7a5ce18d26514bb6,PecanParkBlvdBD.rdf,D2JMA/JDC,10/05/2016 02:00:00 PM,2016,10,5,2,14:00,WB,63,0,0,1,5,22,23,7,4,1,0,0,0,0
,22b0aada3e92f480cdef636016ab3367cc04f7d8,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 03:00:00 PM,2016,10,4,1,15:00,EB,33,0,0,0,2,11,13,5,2,0,0,0,0,0
,c2ba6fa6183186d1c3a41c47893957d7b722b48c,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 04:00:00 PM,2016,10,4,1,16:00,EB,38,0,0,0,1,11,19,4,3,0,0,0,0,0
,3de07670f3358c7545b50f0f2aa06f8d0ecff40a,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 05:00:00 PM,2016,10,4,1,17:00,EB,70,0,0,0,4,26,26,13,0,1,0,0,0,0
,4060a6d98e743ec72be2845565e44046238ad814,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 06:00:00 PM,2016,10,4,1,18:00,EB,50,0,0,0,5,11,21,10,2,1,0,0,0,0
,0a63146acd405d970b1d59e4eb7e7ad701e3d468,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 07:00:00 PM,2016,10,4,1,19:00,EB,45,0,0,0,3,14,19,5,2,2,0,0,0,0
,b71363b7a4940cabcca60aee7c3a0c6ff761e38a,PecanParkBlvdBD.rdf,D2JMA/JDC,10/04/2016 08:00:00 PM,2016,10,4,1,20:00,EB,55,0,0,1,5,14,24,8,2,1,0,0,0,0
